epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
91	0.9719	1.7312	|	1.0085	25.5234	43.7500	0.0000	|	1.2368	16.1508	27.5510	0.0000	|  Best result at epoch 31
92	0.6436	1.6811	|	0.9564	29.3706	43.7500	0.0000	|	1.1648	21.0350	30.6122	0.0000	|  Best result at epoch 31
93	0.8263	2.0086	|	1.1499	15.0825	32.2917	0.0000	|	1.2980	12.0031	25.5102	0.0000	|  Best result at epoch 31
94	0.9557	1.5819	|	0.9119	32.6566	51.0417	0.0000	|	1.1765	20.2383	35.7143	0.0000	|  Best result at epoch 31
95	0.7953	1.7286	|	1.0656	21.3059	40.6250	0.0000	|	1.2557	14.8713	33.6735	0.0000	|  Best result at epoch 31
96	0.8383	1.9058	|	1.0844	19.9202	42.7083	0.0000	|	1.2670	14.1036	31.6327	0.0000	|  Best result at epoch 31
97	0.8596	1.8871	|	1.1125	17.8433	34.3750	0.0000	|	1.2926	12.3723	29.5918	0.0000	|  Best result at epoch 31
98	0.6775	1.4728	|	0.9469	30.0735	45.8333	0.0000	|	1.1700	20.6811	29.5918	0.0000	|  Best result at epoch 31
99	0.7299	1.6508	|	0.9635	28.8493	42.7083	0.0000	|	1.1887	19.4140	26.5306	0.0000	|  Best result at epoch 31
100	0.5530	1.8035	|	1.0357	23.5141	51.0417	0.0000	|	1.2734	13.6705	34.6939	0.0000	|  Best result at epoch 31
101	0.5937	1.7693	|	1.0118	25.2851	45.8333	0.0000	|	1.2447	15.6186	29.5918	0.0000	|  Best result at epoch 31
102	0.5619	1.6957	|	1.0026	25.9590	36.4583	0.0000	|	1.2210	17.2228	26.5306	0.0000	|  Best result at epoch 31
103	0.6094	1.7703	|	1.0548	22.1044	36.4583	0.0000	|	1.1855	19.6312	30.6122	0.0000	|  Best result at epoch 31
104	0.7489	2.1412	|	1.1667	13.8454	41.6667	0.0000	|	1.3120	11.0527	28.5714	0.0000	|  Best result at epoch 31
105	0.8805	1.9595	|	1.0806	20.2003	34.3750	0.0000	|	1.2691	13.9651	26.5306	0.0000	|  Best result at epoch 31
106	0.7180	1.7697	|	1.0054	25.7579	43.7500	0.0000	|	1.2277	16.7723	29.5918	0.0000	|  Best result at epoch 31
107	0.5570	1.7203	|	1.0053	25.7647	40.6250	0.0000	|	1.2765	13.4617	30.6122	0.0000	|  Best result at epoch 31
108	0.6626	2.0346	|	1.1219	17.1554	34.3750	0.0000	|	1.3237	10.2588	26.5306	0.0000	|  Best result at epoch 31
109	0.5559	1.6067	|	0.9813	27.5342	44.7917	0.0000	|	1.2022	18.4959	31.6327	0.0000	|  Best result at epoch 31
110	0.5495	2.1803	|	1.1479	15.2310	42.7083	0.0000	|	1.3653	7.4412	28.5714	0.0000	|  Best result at epoch 31
111	0.5513	1.8961	|	1.1142	17.7214	36.4583	0.0000	|	1.2855	12.8480	29.5918	0.0000	|  Best result at epoch 31
112	0.7199	1.9425	|	1.0540	22.1691	42.7083	0.0000	|	1.3117	11.0776	30.6122	0.0000	|  Best result at epoch 31
113	0.5579	1.5747	|	0.9479	29.9987	44.7917	0.0000	|	1.1509	21.9772	34.6939	0.0000	|  Best result at epoch 31
114	0.6203	1.6849	|	0.9614	29.0040	46.8750	0.0000	|	1.2785	13.3222	28.5714	0.0000	|  Best result at epoch 31
115	0.5926	1.8298	|	1.0091	25.4804	44.7917	0.0000	|	1.2872	12.7332	30.6122	0.0000	|  Best result at epoch 31
116	0.5049	1.7926	|	1.0473	22.6617	41.6667	0.0000	|	1.2376	16.0973	31.6327	0.0000	|  Best result at epoch 31
117	0.9093	1.8221	|	1.0555	22.0560	42.7083	0.0000	|	1.3003	11.8458	30.6122	0.0000	|  Best result at epoch 31
118	0.7425	1.8820	|	1.0787	20.3407	34.3750	0.0000	|	1.2807	13.1750	28.5714	0.0000	|  Best result at epoch 31
119	0.5645	2.1550	|	1.1531	14.8488	37.5000	0.0000	|	1.4255	3.3622	25.5102	0.0000	|  Best result at epoch 31
120	0.6594	1.6739	|	0.9757	27.9474	40.6250	0.0000	|	1.2059	18.2448	30.6122	0.0000	|  Best result at epoch 31
